Agrément	Localité	Désignation	Ligue	Département
1762105	FRUGES	AMICALE LAIQUE DE FRUGES	1700000	1762000
1762106	LIBERCOURT	LES ARCHERS TYPES DE LIBERCOURT	1700000	1762000
1762112	ST JOSSE SUR MER	LE BLASON JUDOCIEN	1700000	1762000
1762116	AUCHEL	LES ARCHERS AUCHELLOIS	1700000	1762000
1762117	BEAURAINS	LES FRANCS ARCHERS DE BEAURAINS	1700000	1762000
1762119	CUINCHY	LES ARCHERS DE CUINCHY	1700000	1762000
1762120	L'HOSTELOISE ARCHERIE	L'HOSTEULOISE DE ZOTEUX	1700000	1762000
1762122	COULOGNE	CLUB HANDISPORT DU CALAISIS	1700000	1762000
1819002	BRIVE LA GAILLARDE	CIE DES ARCHERS DE BRIVE	1800000	1819000
1819004	TULLE	CLUB ARCHERS TULLISTES	1800000	1819000
1819009	MALEMORT SUR CORREZE	CIE DES ARCHERS DE MALEMORT	1800000	1819000
1819016	AIX AC	ARCHER CLUB AIXOIS	1800000	1819000
1823005	BOURGANEUF	L'ARC MARCHOIS	1800000	1823000
1823007	AUBUSSON	LES ARCHERS CREUSOIS	1800000	1823000
1823008	GUERET	CIE DES ARCHERS GUERETOIS	1800000	1823000
1887001	LIMOGES	LIMOGES-COUZEIX ARC CLUB	1800000	1887000
1887003	SAINT JUNIEN	ASSOCIATION SPORTIVE	1800000	1887000
1887010	MAGNAC LAVAL	CIE D'ARC MAGNAC LAVAL	1800000	1887000
1887013	CAVT	CIE DES ARCHERS VALLEE TENEBREUSE	1800000	1887000
1887019	PEYRILHAC	LES ARCHERS DICELUY PAIS	1800000	1887000
2011005	CARCASSONNE	LES ARCHERS DE LA CITE	2000000	2011000
2011007	NARBONNE	LES ARCHERS NARBONNAIS	2000000	2011000
2011031	FABREZAN	ARC DE FABREZAN	2000000	2011000
2011036	LIMOUX	LES ARCHERS DE LIMOUX	2000000	2011000
2011046	BIZANET	LES ARCHERS DE BIZANET	2000000	2011000
2011077	TREBES	CIE DES ARCHERS TREBEENS	2000000	2011000
2011092	CASTELNAUDARY	CIE D'ARCHERS CHAURIENS	2000000	2011000
2011112	COUFFOULENS	LES ARCHERS DU LAUQUET	2000000	2011000
2011131	RODOME	RESEAU DE DECOUVERTE DES PYRENEES AUDOISES	2000000	2011000
2030044	SAINT GILLES	LES ARCHERS ST GILLOIS	2000000	2030000
2030051	NIMES	ARC CLUB DE NIMES	2000000	2030000
2030056	LAUDUN	CIE DU CAMP DE CESAR A LAUDUN	2000000	2030000
2030063	PUJAUT	COMPAGNIE DES ARCHERS DE PUJAUT	2000000	2030000
2030069	ARAMON	ARC CLUB ARAMON	2000000	2030000
2030070	PONT ST ESPRIT	ARC CLUB DE PONT ST ESPRIT	2000000	2030000
2030071	UZES	ARC CLUB DE L'UZEGE	2000000	2030000
2030079	LANGLADE	ARC CLUB DE LANGLADE	2000000	2030000
2030093	ANDUZE	CLUB DES ARCHERS ANDUZIENS	2000000	2030000
2030099	SAINT AMBROIX	CLUB DE TIR ST AMBROIX	2000000	2030000
2030106	MANDUEL	ARC CLUB DE MANDUEL	2000000	2030000
2030116	BARJAC	ARC CLUB DE BARJAC	2000000	2030000
2030120	BEAUCAIRE	LES ARCHERS BEAUCAIROIS	2000000	2030000
2030122	MARGUERITTES	LES ARCHERS DE MARGUERITTES	2000000	2030000
2030127	ST CHRISTOL LEZ ALES	ARC CLUB ST CHRISTOL LEZ ALES	2000000	2030000
2030132	MILHAUD	ARC CLUB MILHAUDOIS	2000000	2030000
2030133	AUJARGUES	AUJ'ARC EN SOMMIEROIS	2000000	2030000
2030137	ALES	ARC CLUB ALESIEN	2000000	2030000
2030138	AIMARGUES	ARC CLUB D'AIMARGUES	2000000	2030000
2034001	MONTPELLIER	MONTPELLIER ARC CLUB	2000000	2034000
2034023	BEZIERS	LES ARCHERS BITERROIS	2000000	2034000
2034033	LUNEL	LES ARCHERS DE LUNEL	2000000	2034000
2034037	PEROLS	LES ARCHERS DE PEROLS	2000000	2034000
2034038	AGDE	AGDE	2000000	2034000
2034047	LATTES	LES ARCHERS LATTOIS	2000000	2034000
2034060	ROQUEBRUN PAR CESSENON	ARCHERS DE ROQUEBRUN	2000000	2034000
2034066	FRONTIGNAN	LES ARCHERS DU SOLEIL	2000000	2034000
2034085	LE CRES	ARCHER CRESSOIS	2000000	2034000
2034088	SETE	ARC CLUB SETOIS	2000000	2034000
2034098	GRABELS	TIR A L'ARC GRABELLOIS	2000000	2034000
2034102	PRADES LE LEZ	LES ARCHERS DE L'HORTUS	2000000	2034000
2034109	BESSAN	LES ARCHERS DE LA TUQUE	2000000	2034000
2034130	PAULHAN	LOU RECANTOU DE PAULHAN TIR A L'ARC	2000000	2034000
2034136	COURNONTERRAL	LES ARCHERS DU COULAZOU	2000000	2034000
2034139	VILLENEUVE LES BEZIERS	ARC CLUB VILLENEUVOIS	2000000	2034000
2034140	LAURENS	LES ARCHERS DU FAUGEROIS	2000000	2034000
2034141	VIAS	CLUB DES ARCHERS VIASSOIS	2000000	2034000
2048006	ST CHELY D'APCHER	ARCHERS BARRABANS	2000000	2048000
2048012	MARVEJOLS	1RE CIE D'ARCHERS DE MARVEJOLS	2000000	2048000
2048013	MENDE	COMPAGNIE ARCHERS MENDE	2000000	2048000
2048040	CHANAC	CIE DES ARCHERS DE CHANAC	2000000	2048000
2048082	VILLEFORT	COMPAGNIE ARCHERS VILLEFORT	2000000	2048000
2048096	CHIRAC	LES ARCHERS DE LA FARE - 1ERE CIE CHIRAC	2000000	2048000
2048114	MEYRUEIS	ARC CLUB DE MEYRUEIS	2000000	2048000
2048126	LANGOGNE	LANGOGNE ARC CLUB	2000000	2048000
2048134	AUMONT-AUBRAC	LES ARCHERS DE LA TERRE DE PEYRE	2000000	2048000
2066039	LLUPIA	LES ARCHERS DE LLUPIA	2000000	2066000
2066059	CERET	ARCHERS DU VALLESPIR	2000000	2066000
2066072	SAINTE MARIE LA MER	ARCHERS ST MARINOIS	2000000	2066000
2066078	BOMPAS	LES ARCHERS DE BOMPAS	2000000	2066000
2066087	ST CYPRIEN	ARCHERS DE ST CYPRIEN	2000000	2066000
2066091	SOREDE	CIE DES ARCHERS DES ALBERES	2000000	2066000
2066108	PERPIGNAN	LES ARCHERS CATALANS - PERPIGNAN	2000000	2066000
2066129	PRADES	LES ARCHERS DU CONFLENT-PRADES	2000000	2066000
2066135	PLANEZES	ARCHERS DE LA TOUREZE	2000000	2066000
2066142	LA LLAGONNE	ARC CLUB CERDAGNE CAPCIR	2000000	2066000
2154001	NANCY	1ERE CIE DE TIR A L'ARC DE NANCY	2100000	2154000
2154004	DOMBASLE SUR MEURTHE	CIE TIR A L'ARC DE DOMBASLE	2100000	2154000
2154010	PONT ST VINCENT	PONT SAINT VINCENT	2100000	2154000
2154017	LONGWY	ARCHER CLUB DE LONGWY	2100000	2154000
2154018	LUNEVILLE	LES ARCHERS LUNEVILLOIS	2100000	2154000
2154021	VANDOEUVRE	1 CIE VANDOEUVRE	2100000	2154000
2154024	PONT A MOUSSON	CLUB ARCHERS MUSSIPONTAINS	2100000	2154000
2154032	SEICHAMPS	CIE D'ARC DE SEICHAMPS	2100000	2154000
2154034	CONFLANS EN JARNISY	CIE DE TIR A L'ARC	2100000	2154000
2154038	TOUL	1ERE CIE D'ARC DU TOULOIS	2100000	2154000
2154039	EINVILLE	LES ARCHERS DU SANON	2100000	2154000
2154045	LUDRES	LA FLECHE D'AFFRIQUE LUDREENNE	2100000	2154000
2154052	ERROUVILLE	ASCE SECTION TIR A L'ARC	2100000	2154000
2154060	ST NICOLAS DE PORT	1ERE COMPAGNIE DES ARCHERS	2100000	2154000
2154068	NEUVES MAISONS	COMPAGNIE DE NEUVES MAISONS	2100000	2154000
2154077	VARANGEVILLE	CLUB DES ARCHERS DE VARANGEVILLE	2100000	2154000
2154088	LANDRES	LES HALBUTIERS DU BASSIN DE LA	2100000	2154000
2154090	HOMECOURT	LA FLECHE HOMECOURTOISE	2100000	2154000
2154095	NANCY CARQUOIS	LE CARQUOIS D'OR	2100000	2154000
2154103	CUTRY	LES ARCHERS DE CUTRY	2100000	2154000
2154105	PULLIGNY	AF PULLIGNY TIR A L'ARC	2100000	2154000
2154110	FROUARD	O.F.P. SECTION TIR A L'ARC	2100000	2154000
2154113	CHAMPIGNEULLES	LA CHAMPIGNEULLAISE	2100000	2154000
2155028	LIGNY EN BARROIS	L.S.G TIR A L'ARC	2100000	2155000
2155078	BELLEVILLE SUR MEUSE	LES FRANCS ARCHERS DU VERDUNOIS	2100000	2155000
2155100	FRESNES EN WOEVRE	LES ARCHERS DE LA WOEVRE	2100000	2155000
2155101	VIGNEULLES LES HATTONCHATEL	LES ARCHERS DES COTES DE MEUSE	2100000	2155000
2155102	COMMERCY	LES ARCHERS COMMERCIENS	2100000	2155000
2155106	BAR LE DUC	LES FLECHES BARISIENNES	2100000	2155000
2155109	VOID VACON	L'ARC VIDUSIEN	2100000	2155000
2155112	BREUX	ARC BREUX LOISIRS	2100000	2155000
2157003	CREUTZWALD	LES ARCHERS DE CREUTZWALD	2100000	2157000
2157006	FAREBERSVILLER	FAREBERSVILLER	2100000	2157000
2157007	SARREBOURG	1ERE CIE DE TIR A L'ARC	2100000	2157000
2157008	SARREGUEMINES	1ERE CIE DE TIR A L'ARC	2100000	2157000
2157012	A.C. MONTIGNY LES METZ	A.C. MONTIGNY LES METZ	2100000	2157000
2157013	THIONVILLE	1 CTA DE THIONVILLE	2100000	2157000
2157043	MARLY POURNOY	LES ARCHERS DE MARLY-POURNOY LA CHETIVE	2100000	2157000
2157044	GORZE	L ARCHER GORZIEN	2100000	2157000
2157046	HOMBOURG HAUT	1ERE CIE TIR ARC	2100000	2157000
2157050	DIEUZE	SOCIETE DE TIR	2100000	2157000
2157051	BOUZONVILLE	CIE ARCHERS BOUZONVILLE	2100000	2157000
2157061	HAYANGE	1ERE COMPAGNIE D'ARC HAYANGE	2100000	2157000
2157062	FOLSCHVILLER	CIE ARC FOLSCHVILLER	2100000	2157000
2157063	MOYEUVRE GRANDE	1ERE CIE ARC MOYEUVRE	2100000	2157000
2157065	BITCHE	LA FLECHE BITCHOISE	2100000	2157000
2157072	FAMECK	ARCHER CLUB FAMECKOIS	2100000	2157000
2157083	ROMBAS	1ERE CIE D ARC DE ROMBAS	2100000	2157000
2157084	AUDUN LE TICHE	JSA 1ERE CIE D'ARC	2100000	2157000
2157086	METZ	LES ARCHERS DU ST QUENTIN ASC METZ	2100000	2157000
2157089	ARS SUR MOSELLE	ARS SUR MOSELLE OLYMPIQUE	2100000	2157000
2157092	HETTANGE GRANDE	LES ATHABASCANS	2100000	2157000
2157093	HAGONDANGE	ENTENTE SPORTIVE HAGONDANGE	2100000	2157000
2157094	FORBACH	CIE DES ARCHERS DE FORBACH	2100000	2157000
2157104	MARANGE SILVANGE	LES ARCHERS DE MARANGE SILVANGE	2100000	2157000
2157107	TALANGE	CLTEP SECTION TIR A L'ARC	2100000	2157000
2157108	FAULQUEMONT	L'ARC FAULQUINOIS	2100000	2157000
2157114	STIRING-WENDEL	CIE DES ARCHERS DE STIRING-WENDEL	2100000	2157000
2188005	EPINAL 1ER	1ERE CIE D'ARCHERS D'EPINAL	2100000	2188000
2188009	THAON LES VOSGES	EST TIR A L'ARC	2100000	2188000
2188036	CHARMES	CERCLE DES ARCHERS	2100000	2188000
2188042	VAGNEY	1E CIE DES HTES VOSGES	2100000	2188000
2188047	XONRUPT LONGEMER	VALLEE DES LACS	2100000	2188000
2188058	ST DIE	S.R.D. ST DIE	2100000	2188000
2188064	NEUFCHATEAU	CIE ARCHERS NEUFCHATEAU	2100000	2188000
2188066	SENONES	LES ARCHERS DE SALM	2100000	2188000
2188075	MIRECOURT	LES ARCHERS MIRECURTIENS	2100000	2188000
2188076	LE VAL D'AJOL	CERCLE DES ARTS MARTIAUX	2100000	2188000
2188079	ETIVAL CLAIREFONTAINE	LES ARCHERS DE LA VALDANGE	2100000	2188000
2188097	SAULCY	LES ARCHERS DE SAULCY	2100000	2188000
2188099	CONTREXEVILLE	ARC CLUB CONTREXEVILLE VITTEL	2100000	2188000
2188111	FREMIFONTAINE	LES ARCHERS DE FREMIFONTAINE	2100000	2188000
2244001	NANTES	ARCHERS NANTAIS	2200000	2244000
2244003	BASSE GOULAINE	B.G.A.C.	2200000	2244000
2244010	ST NAZAIRE	SAINT NAZAIRE OLYMPIQUE SPORTIF	2200000	2244000
2244020	CLISSON	CIE D'ARC OLIVIER DE CLISSON	2200000	2244000
2244027	CORDEMAIS	A.S.CORDEMAIS TIR ARC	2200000	2244000
2244037	ORVAULT	ARCHERS D'ORVAULT	2200000	2244000
2244038	CARQUEFOU	ARCHERS DE L'ERDRE	2200000	2244000
2244043	BOUGUENAIS	CIE ARCHERS BOUGUENAIS	2200000	2244000
2244044	CHATEAUBRIANT	ARCHERS DE LA MEE	2200000	2244000
2244045	ST HERBLAIN	ARCHERS DE ST HERBLAIN	2200000	2244000
2244050	LA BAULE	A.S.C.E. TIR A L'ARC	2200000	2244000
2244053	PIRIAC SUR MER	LES ARCHERS PIRIACAIS	2200000	2244000
2244056	VERTOU	CIE ARCHERS DE VERTOU	2200000	2244000
2244064	LE BIGNON	LES ARCHERS DE L'E.S.B	2200000	2244000
2244067	ST JEAN DE BOISEAU	CIE DES ARCHERS DU PE	2200000	2244000
2244068	DONGES	ESPERANCE SPORTIVE DONGEOISE	2200000	2244000
2244081	GUERANDE	CIE D ARC DE GUERANDE	2200000	2244000
2244084	MONTOIR DE BRETAGNE	CLUB SPORTIF MONTOIRIN	2200000	2244000
2244090	ST PHILBERT DE GRAND LIEU	ARCHER PHILIBERTIN	2200000	2244000
2244091	PORNIC	LES ARCHERS PORNICAIS	2200000	2244000
2244092	LA HAYE FOUASSIERE	ARC'HAYE	2200000	2244000
2244098	NANTES DOULON	ASS. DU QUARTIER DE DOULON	2200000	2244000
2244099	PONTCHATEAU	COMPAGNIE DES ARCHERS DU BRIVET	2200000	2244000
2244108	ANCENIS	LES ARCHERS DU PAYS D'ANCENIS	2200000	2244000
2244110	MAISDON	LES ARCHERS DU VAL DE SEVRE	2200000	2244000
2244112	COUERON	ETOILE SPORTIVE COUERONNAISE	2200000	2244000
2244120	SAINT GEREON	ARCHERS DU GOTHA	2200000	2244000
2244122	REZE	LA FLECHE RAGONNAISE	2200000	2244000
2244124	VALLET	ARC NATURE VALLETAIS	2200000	2244000
2244135	MESQUER	LES ARCHERS DU MES	2200000	2244000
2249002	ANGERS	S G T A - TIR A L'ARC	2200000	2249000
2249004	LE FUILET	ARCHERS DU PARADIS	2200000	2249000
2249017	LE MAY SUR EVRE	ENERGIE TIR A L'ARC	2200000	2249000
2249018	ST MACAIRE EN MAUGES	LA FLECHE MACAIROISE	2200000	2249000
2249030	SAUMUR	J.A. SAUMUR TIR A L'ARC	2200000	2249000
2249079	POUANCE	LES ARCHERS DE MESSIRE B. DUGUESCLIN	2200000	2249000
2249086	MURS ERIGNE	ASI TIR A L 'ARC	2200000	2249000
2249093	CANDE	CIE DES ARCHERS DU S.O CANDEEN	2200000	2249000
2249095	BEAUPREAU	LA FLECHE AU COEUR DES MAUGES	2200000	2249000
2249100	CHEMILLE	LES ARCHERS CHEMILLOIS	2200000	2249000
2249103	DAUMERAY	C.O.AJAX DE DAUMERAY	2200000	2249000
2249104	CHOLET TAC	TIR A L ARC CHOLETAIS	2200000	2249000
2249106	CHOLET JF	JEUNE FRANCE OMNISPORTS	2200000	2249000
2249111	MAZE	LES ARCHERS DU VAL D AUTHION	2200000	2249000
2249128	ECOUFLANT	ARC ECOUFLANT	2200000	2249000
2249130	NOYANT	ASDN TIR A L'ARC	2200000	2249000
2253007	LAVAL	CIE ST GEORGES DE LAVAL	2200000	2253000
2253019	CHATEAU GONTIER	TIR A L'ARC CHATEAU GONTIER	2200000	2253000
2253039	MESLAY DU MAINE	CIE ST GEORGES DE MESLAY DU MAINE	2200000	2253000
2253061	GORRON	CIE GORONNAISE TIR A L'ARC	2200000	2253000
2253062	AMBRIERES LES VALLEES	MJC AMBRIERES LES VALLEES	2200000	2253000
2253071	ANDOUILLE	LES ARCHERS ANDOLLEENS	2200000	2253000
2253102	MAYENNE	CLUB ATHLETIQUE MAYENNAIS	2200000	2253000
2253114	EVRON	CLUB ATHLETIQUE EVRONNAIS	2200000	2253000
2253123	LE GENEST ST ISLE	UNION SPORTIVE GENESTOISE	2200000	2253000
2253125	IZE	ETOILE SPORTIVE IZEENNE TIR A L'ARC	2200000	2253000
2272005	LA FLECHE	ASSOCIATION FLECHOISE DES ARTS MARTIAUX	2200000	2272000
2272008	LE MANS SOM	LE MANS S.O.M.	2200000	2272000
2272022	LA FERTE BERNARD	VSF TIR A L'ARC	2200000	2272000
2272029	MAMERS	CIE D'ARCHERS DU SAOSNOIS	2200000	2272000
2272040	LE MANS MAINE	ARC DU MAINE (LE MANS)	2200000	2272000
2272041	LAIGNE-ST GERVAIS EN BELIN	CIE ARCHERS DU BELINOIS	2200000	2272000
2272059	COULAINES	JEUNESSES SPORTIVES	2200000	2272000
2272073	DOLLON	FAMILLES RURALES DE DOLLON	2200000	2272000
2272077	BOULOIRE	CIE ARCHERS BOIS DES VALLEES	2200000	2272000
2272094	YVRE L'EVEQUE	LES ARCHERS D'YVRE	2200000	2272000
2272113	SABLE SUR SARTHE	LES ARCHERS DE SABLE	2200000	2272000
2272116	ECOMMOY	LES ARCHERS D ECOMMOY	2200000	2272000
2272117	LE MANS NATURE	ASSOC. NOUVELLE DES ARCHERS DE LA NATURE - LE MANS	2200000	2272000
2272118	MARCON	CIE DES ARCHERS DES VARENNES	2200000	2272000
2272121	SAVIGNE L'EVEQUE	TIR A L'ARC CACS	2200000	2272000
2272126	LA BAZOGE	LES ARCHERS DE LA BAZOGE	2200000	2272000
2272127	CHATEAU DU LOIR	CLUB OMNISPORT CHATEAU DU LOIR	2200000	2272000
2272132	SABLE SUR SARTHE	CITAS	2200000	2272000
2272133	LE LUART	UNION SPORTIVE DU LUART	2200000	2272000
2272134	THORIGNE SUR DUE	FOYER RURAL	2200000	2272000
2285006	ROCHE SUR YON	CIE D'ARCHERS SAINT GEORGES	2200000	2285000
2285015	LES SABLES D'OLONNE	LES ARCHERS SABLAIS	2200000	2285000
2285021	CHANTONNAY	CIE ARCHERS CHANTONNAISIENS	2200000	2285000
2285024	FONTENAY LE COMTE	TIR ARC FONTENAISIEN	2200000	2285000
2285026	POUZAUGES	LES ARCHERS DU HAUT BOCAGE	2200000	2285000
2285033	LUCON	ARCHERS RICHELIEU	2200000	2285000
2285034	SAINT JEAN DE MONTS	LES ARCHERS MONTOIS	2200000	2285000
2285035	BARBATRE	ARCHERS DE BARBATRE........	2200000	2285000
2285047	BEIGNON BASSET	AMICALE DU BEIGNON BASSET	2200000	2285000
2285052	LA CHATAIGNERAIE	TIR A L'ARC DE CHATAIGNERAIE	2200000	2285000
2285062	MONTAIGU	LES ARCHERS DE LA DIGUE	2200000	2285000
2285066	CHALLANS	CLUB ARC.CHALLANDAIS	2200000	2285000
2285072	AIZENAY	L'ARCHER CLUB D'AIZENAY	2200000	2285000
2285107	ST GILLES CROIX DE VIE	ARCHERS DE ST GILLES CROIX VIE	2200000	2285000
2285109	BEAUVOIR SUR MER	LES ARCHERS DU MARAIS	2200000	2285000
2285115	ST AUBIN	LES ARCHERS ST AUBINOIS	2200000	2285000
2285117	LA GARNACHE	LES GARNA'ARCHERS	2200000	2285000
2285119	TALMONT ST HILAIRE	1ERE CIE D'ARCHERS EN TALMONDAIS	2200000	2285000
2285131	ILE D'YEU	CIE DES ARCHERS DE L'ILE D'YEU	2200000	2285000
2306001	NICE AC	AC NICE	2300000	2306000
2306003	ANTIBES	COMPAGNIE D'ARC D'ANTIBES	2300000	2306000
2306004	CANNES MANDELIEU	CIE D'ARC CANNES-MANDELIEU	2300000	2306000
2306005	MONACO	FED. MONEGASQUE DE TIR	2300000	2306000
2306014	NICE	FA NICE	2300000	2306000
2306030	MENTON	ARCHERS DE ST MICHEL	2300000	2306000
2306046	MOUANS SARTOUX	CIE DES ARCHERS DU PARC	2300000	2306000
2306048	ST CEZAIRE SUR SIAGNE	OIE D ARC DE ST CEZAIRE/SIAGNE	2300000	2306000
2306053	GATTIERES	CLUB DES ARCHERS GATTIEROIS	2300000	2306000
2306058	GREOLIERES LES NEIGES	GREOLOISIRS	2300000	2306000
2306059	LA TRINITE	ARC EVASION NATURE	2300000	2306000
2306065	CONTES	CIE DES ARCHERS DE CONTES - COMPETITION	2300000	2306000
2306068	ROQUESTERON	ASSOCIATION SPORTS LOISIRS ROQUESTERON	2300000	2306000
2383017	ROQUEBRUNE S/ARGENS CIE	CIE TIR A L'ARC ROQUEBRUNE-LES ISSAMBRES	2300000	2383000
2383019	SAINT-RAPHAEL	LES ARCHERS DE  ST RAPHAEL/VALESCURE	2300000	2383000
2383020	HYERES	ASPTT TIR A L'ARC HYERES	2300000	2383000
2383021	BRIGNOLES	CIE BRIGNOLAISE DE TIR	2300000	2383000
2383022	LA GARDE	ARC CLUB GARDEEN	2300000	2383000
2383023	COGOLIN	COMPAGNONS ARC COGOLIN	2300000	2383000
2383024	TOULON	ARC CLUB TOULONNAIS	2300000	2383000
2383026	PIERREFEU DU VAR	LES ARCHERS DE SULLY	2300000	2383000
2383032	FREJUS	FREJUS ARC CLUB	2300000	2383000
2383033	SANARY	ARC CLUB SANARY	2300000	2383000
2383035	OLLIOULES	COMPAGNIE D'ARC OLLIOULAISE	2300000	2383000
2383037	LE MUY	LES ARCHERS DU MUY	2300000	2383000
2383043	CARCES	COMPAGNIE CARCOISE TIR A L'ARC	2300000	2383000
2383045	LE LAVANDOU	LES ARCHERS DU GRAND JARDIN	2300000	2383000
2383047	CUERS	LES ARCHERS OCCITANS	2300000	2383000
2383051	ROQUEBRUNE S/ARGENS NAT	TIR ARC NATURE INSTINCTIF	2300000	2383000
2383054	DRAGUIGNAN	LES ARCHERS DU DRAGON	2300000	2383000
2383059	GONFARON	LES ARCHERS DE ST QUINIS	2300000	2383000
2383061	LORGUES	LES ARCHERS LORGUAIS	2300000	2383000
2383063	LA VALETTE DU VAR	LES ARCHERS VALETTOIS	2300000	2383000
2383064	LA VERDIERE	CIE VERDIEROISE DE TIR A L'ARC	2300000	2383000
2383066	BAGNOLS EN FORET	CLUB DES ARCHERS BAGNOLAIS	2300000	2383000
2383069	A.C. BRIGNOLES	ARC CLUB BRIGNOLAIS	2300000	2383000
2418002	ARGENT SUR SAULDRE	LA FLECHE D'ARGENT	2400000	2418000
2418004	BOURGES 1	1 ERE CIE ARCHERS DE BOURGES	2400000	2418000
2418005	BOURGES AC	BOURGES ARC CLUB	2400000	2418000
2418015	ST AMAND MONTROND	ARCHERS SAINT AMANDOIS	2400000	2418000
2418045	ST GERMAIN DU PUY	ST GERMAIN DU PUY 1ERE	2400000	2418000
2418062	VIERZON 1ER	1ERE CIE DES ARCHERS VIERZONNAIS	2400000	2418000
2418101	AVORD	US AVORD TIR A L'ARC	2400000	2418000
2418118	DUN SUR AURON	SOCIETE D'INITIATION PHYSIQUE ET SPORTIV	2400000	2418000
2418126	CHATEAUNEUF SUR CHER	CLUB DE CHATEAUNEUF/CHER - PLUME DE DIAN	2400000	2418000
2418129	BELLEVILLE SUR LOIRE	LES ARCHERS DE BELLEVILLE SUR LOIRE	2400000	2418000
2418132	LA GUERCHE SUR L'AUBOIS	CIE DES ARCHERS DU VAL D'AUBOIS	2400000	2418000
2418138	MEHUN SUR YEVRE	MEHUN ARCHERS DE CHARLES VII	2400000	2418000
2418139	ST FLORENT SUR CHER	SAINT FLORENT USF ARC CLUB	2400000	2418000
2418140	VIERZON	LES ARCS ANGES DE VIERZON	2400000	2418000
2428011	LEVES	A.CLUB VALLEE DE L'EURE	2400000	2428000
2428027	NOGENT LE ROTROU	LES ARCHERS DU PERCHE	2400000	2428000
2428031	CHARTRES	HORIZON DE BEAULIEU	2400000	2428000
2428037	DREUX	CLUB ARCHERS DROUAIS	2400000	2428000
2428059	NOGENT LE ROI	COMPAGNIE DE NOGENT LE ROI	2400000	2428000
2428066	GAS	GAS U.S. TIR A L'ARC	2400000	2428000
2428068	LUCE	COMPAGNIE DE LUCE	2400000	2428000
2428071	EPERNON	A.E.A.S. D'EPERNON	2400000	2428000
2428075	GALLARDON	LES ARCHERS DE LA TOUR	2400000	2428000
2428079	ARROU	COMPAGNIE D'ARC D'ARROU	2400000	2428000
2428080	VOVES	ARC EN CIEL	2400000	2428000
2428090	AUNEAU	ENTENTE SPORTIVE ALNELOISE	2400000	2428000
2428092	CHATEAUDUN	ARC CLUB DUNOIS	2400000	2428000
2428094	HANCHES	ARC HANCHES	2400000	2428000
2428095	ILLIERS COMBRAY	ESPERANCE ISLERIENNE	2400000	2428000
2428103	JOUY ST PREST	LA FLECHE ETOILEE	2400000	2428000
2428104	BROU	ETOILE DE BROU	2400000	2428000
2428113	BERCHERES SUR VESGRE	LES ARCHERS DE LA VILLE L'EVEQUE	2400000	2428000
2428115	CLOYES SUR LE LOIR	LES COMPAGNONS DE DIANE	2400000	2428000
2428116	NOGENT LE PHAYE	ASS. DE NOGENT LE PHAYE	2400000	2428000
2428127	COURVILLE S/EURE AC	ARC CLUB COURVILLOIS	2400000	2428000
2436006	CHATEAUROUX	1ERE CIE DU BAS-BERRY	2400000	2436000
2436025	ISSOUDUN	LES ARCHERS DU BEFFROY	2400000	2436000
2436042	LEVROUX	1ERE CIE D'ARCHERS DES TOURS ...	2400000	2436000
2436056	ARGENTON SUR CREUSE	ARCHER CLUB ARGENTONNAIS	2400000	2436000
2436074	LE BLANC	CIE LE BLANC ARCHER	2400000	2436000
2436109	CLUIS	LES ARCHERS DU LUMA	2400000	2436000
2436130	BELABRE	CIE BELABRAISE DE TIR A L'ARC	2400000	2436000
2436135	TOURNON SAINT MARTIN	CIE DES ARCHERS DE TOURNON	2400000	2436000
2437008	JOUE LES TOURS	ARC JOCONDIEN	2400000	2437000
2437010	LA CROIX EN TOURAINE	LES ARCHERS DE LA CROIX EN TOURAINE	2400000	2437000
2437014	MONTLOUIS-SUR-LOIRE	COMPAGNIE D'ARC DU VAL DE LOIRE	2400000	2437000
2437019	CHAMBRAY LES TOURS	UNION SPORTIVE DE CHAMBRAY	2400000	2437000
2437023	TOURS FAT	FRANCS ARCHERS DE TOURAINE	2400000	2437000
2437026	AMBOISE	ATHLETIC CLUB AMBOISIEN	2400000	2437000
2437029	LOCHES	1ERE CIE DES ARCHERS LOCHOIS	2400000	2437000
2437035	TOURS US	U.S. TOURS	2400000	2437000
2437057	MONTS	ARCHERS DU RIPAULT	2400000	2437000
2437060	LUYNES	CIE DES ARCHERS A.S.L.	2400000	2437000
2437064	BOURGUEIL	ARCHERS BOURGUEILLOIS	2400000	2437000
2437072	CHINON	CHINON A.S.C.A.R.	2400000	2437000
2437076	AZAY SUR CHER	AZAY ARC CLUB	2400000	2437000
2437077	SAINT AVERTIN	SAINT AVERTIN CASAS	2400000	2437000
2437084	CHANCEAUX.SUR.CHOISILLE	A.S.C.CHANCEAUX.SUR.CHOISILLE	2400000	2437000
2437100	NOUZILLY	NOUZILLY INRA	2400000	2437000
2437120	ST BRANCHS	LES ARCHERS DE L'ECHANDON	2400000	2437000
2437123	ST ETIENNE DE CHIGNY	CIE DES ARCHERS DE ST ETIENE DE CHIGNY	2400000	2437000
2437131	ST CYR SUR LOIRE	REVEIL SPORTIF ST CYR TIR A L'ARC	2400000	2437000
2437134	CLERE LES PINS	1ERE CIE D'ARC DE CLERE LES PINS	2400000	2437000
2437137	MONTBAZON	LES ARCHERS DE MONTBAZON	2400000	2437000
2437143	RICHELIEU	RICHELAIS JEUNESSE SPORTIVE	2400000	2437000
