Agrément	Localité	Désignation	Ligue	Département
1376000	CD SEINE MARITIME	COMITE DEPARTEMENTAL SEINE MARITIME	1300	1376000
2577000	CD SEINE ET MARNE	COMITE DEPARTEMENTAL SEINE ET MARNE	2500	2577000
2578000	CD YVELINES	COMITE DEPARTEMENTAL YVELINES	2500	2578000
2779000	CD DES DEUX SEVRES	COMITE DEPARTEMENTAL DES DEUX SEVRES	27	2779000
0280000	CD SOMME	COMITE DEPARTEMENTAL SOMME	0200	0280000
3281000	CD TARN	COMITE DEPARTEMENTAL TARN	32	3281000
3282000	CD TARN ET GARONNE	COMITE DEPARTEMENTAL TARN ET GARONNE	32	3282000
2383000	CD VAR	COMITE DEPARTEMENTAL VAR	23	2383000
0184000	CD VAUCLUSE	COMITE DEPARTEMENTAL VAUCLUSE	01	0184000
2285000	CD DE VENDEE	COMITE DEPARTEMENTAL DE VENDEE	22	2285000
2786000	CD VIENNE	COMITE DEPARTEMENTAL VIENNE	27	2786000
1887000	CD HAUTE VIENNE	COMITE DEPARTEMENTAL HAUTE VIENNE	18	1887000
2188000	CD VOSGES	COMITE DEPARTEMENTAL VOSGES	21	2188000
1589000	CD YONNE	COMITE DEPARTEMENTAL YONNE	15	1589000
1190000	CD TERRITOIRE DE BELFORT	COMITE DEPARTEMENTAL TERRITOIRE DE BELFORT	11	1190000
2591000	CD ESSONNE	C.D. TIR A L'ARC ESSONNE	2500	2591000
2592000	CD HAUTS DE SEINE	COMITE DEPARTEMENTAL HAUTS DE SEINE	2500	2592000
2593000	CD SEINE ST DENIS	COMITE DEPARTEMENTAL SEINE ST DENIS	2500	2593000
2594000	CD VAL DE MARNE	COMITE DEPARTEMENTAL VAL DE MARNE	2500	2594000
2595000	CD VAL D'OISE	COMITE DEPARTEMENTAL VAL D'OISE	2500	2595000
38991	KONE	COMITE PROVINCIAL NORD	38	38991
0000001	ROSNY SOUS BOIS	Club Fédération	0000000	0000000
0000005	ROSNY SOUS BOIS	CLUB FICTIF	0000000	0000000
0000006	SAINT-PIERRE ET MIQUELON	COMPAGNONS D ARC ST PIERRAIS	0000000	0000000
0104025	DIGNE LES BAINS	ARCHERS DES 3 VALLEES	0100000	0104000
0104038	MANOSQUE	ARCHERS MANOSQUINS	0100000	0104000
0104064	CHATEAU ARNOUX ST AUBAN	1 CIE DES ARCHERS JARLANDINS	0100000	0104000
0104099	VOLX	CIE DES ARCHERS DE PIETRAMAL	0100000	0104000
0104100	CLAMENSANE	ARCHERS DU SASSE	0100000	0104000
0104113	L'ESCALE	LES ARCHERS DU SOLEIL	0100000	0104000
0104132	CASTELLANE	AEP LE ROC	0100000	0104000
0104147	CRUIS	LUROSPORT	0100000	0104000
0104152	ST MAIME	LES ARCHERS DE BEATRIX	0100000	0104000
0105020	GAP	CIE DES ARCHERS GAPENCAIS	0100000	0105000
0105071	L'ARGENTIERE LA BESSEE	LES ARCHERS DES ECRINS	0100000	0105000
0105133	EMBRUN	LES ARCHERS EMBRUNAIS	0100000	0105000
0113001	AIX EN PROVENCE	1ERE COMPAGNIE TIR A L'ARC	0100000	0113000
0113002	MARSEILLE 1ERE	1ERE CIE D'ARC MARSEILLE	0100000	0113000
0113003	SALON DE PROVENCE	LES ARCHERS SALONAIS	0100000	0113000
0113005	LA CIOTAT	1ERE CTA LA CIOTAT	0100000	0113000
0113012	CARNOUX EN PROVENCE	1ERE CTA DE CARNOUX	0100000	0113000
0113014	MARIGNANE	1ERE CIE D'ARC MARIGNANE	0100000	0113000
0113021	ST MARTIN DE CRAU	1ERE CIE ST MARTIN DE CRAU	0100000	0113000
0113043	PELISSANNE	CIE D'ARC PELISSANNE	0100000	0113000
0113044	MARSEILLE TROIS LUCS	LES ARCHERS DES TROIS LUCS	0100000	0113000
0113045	LA ROQUE D'ANTHERON	LES ARCHERS DE L'ALYCASTRE	0100000	0113000
0113049	PUYLOUBIER	LEGION PUYLOUBIER	0100000	0113000
0113054	LA MEDE	MAISON POUR TOUS LA MEDE	0100000	0113000
0113055	MARTIGUES	LIS ARQUIE MARTEGAU	0100000	0113000
0113063	ARLES	ARCHERS PONT VAN GOGH	0100000	0113000
0113069	PUY SAINTE REPARADE ARR	ARCHERS DU ROY RENE	0100000	0113000
0113079	AURIOL	AURIOL DIANE ARCHERY	0100000	0113000
0113080	ISTRES	ISTRES SPORT TIR A L'ARC	0100000	0113000
0113091	MARSEILLE PHOCEENS	ARCHERS PHOCEENS	0100000	0113000
0113095	MIRAMAS CRAU	ARCHERS DE LA CRAU	0100000	0113000
0113103	MIRAMAS SLC	S.L.C MIRAMAS	0100000	0113000
0113107	PEYNIER	PEYNIER-FOYER RURAL	0100000	0113000
0113114	LES PENNES MIRABEAU	LES ARCHERS PENNOIS	0100000	0113000
0113117	USCM - ARCHERS DU RAIL	USCM - ARCHERS DU RAIL	0100000	0113000
0113121	MIMET	LES ARCHERS DE L'ETOILE	0100000	0113000
0113126	MALLEMORT	LES ARCHERS DES COLLINES DE LA DURANCE	0100000	0113000
0113130	GEMENOS	LES ARCHERS DE GEMENOS	0100000	0113000
0113131	VENTABREN	LES ARCHERS DE LA REINE JEANNE	0100000	0113000
0113142	FARE LES OLIVIERS	TIR A L'ARC FARENC	0100000	0113000
0113143	LANCON DE PROVENCE	CLASSEC	0100000	0113000
0113144	THOLONET	LES ARCHERS DU THOLONET	0100000	0113000
0113146	AIX EN PROV. LES MILLES CDX 03	LES ARCHERS DU C.E.T.E.	0100000	0113000
0113148	LES ARCHERS DES MILLES	LES ARCHERS DES MILLES	0100000	0113000
0113149	LE PUY STE REPARADE	FIRST TEXAS CAVALRY	0100000	0113000
0113150	BOUC BEL AIR	1ERE  COMPAGNIE D'ARC	0100000	0113000
0113151	PEYNIER	PEYNIER - LES ARCHERS DU VERDALAI	0100000	0113000
0184011	AVIGNON	ARCHERS COMTAT VENAISSIN	0100000	0184000
0184017	BOLLENE	ARCHERS DE BOLLENE	0100000	0184000
0184028	PIOLENC	ARCHERS DES PRINCES	0100000	0184000
0184039	L'ISLE SUR LA SORGUE	ARCHERS L'ISLOIS	0100000	0184000
0184047	CARPENTRAS	ARCHERS ST SIFFREIN	0100000	0184000
0184062	SORGUES	GRAND ARC - ASSER	0100000	0184000
0184074	CAVAILLON	ARCHERS ST JACQUES	0100000	0184000
0184078	MERINDOL	TOXOTES VAL DURANCE MERINDOL	0100000	0184000
0184090	VEDENE	COMPAGNIE D'ARC DE VEDENE	0100000	0184000
0184111	LOURMARIN	ARC CLUB LUBERONAIS	0100000	0184000
0184122	GARGAS	ARCHERS DE GARGAS	0100000	0184000
0184124	MORIERES LES AVIGNON	ARCHERS MORIERES	0100000	0184000
0184125	BONNIEUX	ARCHERS DU LUBERON	0100000	0184000
0184134	LA TOUR D'AIGUES	CIE DES ARCHERS DU CHATEAU	0100000	0184000
0184135	APT	APT TIR A L'ARC	0100000	0184000
0184136	COURTHEZON	LES ARCHERS DE VAL SEILLE	0100000	0184000
0184139	LE THOR	NATURE EN CIBLE	0100000	0184000
0184140	ROBION	LES ARCHERS DU BAUDE	0100000	0184000
0184141	PERTUIS	ARC KI DO	0100000	0184000
0202003	BILLY SUR OURCQ	CIE D'ARC DE BILLY SUR OURCQ	0200000	020002000
0202004	BRAINE	CIE D'ARC DE BRAINE	0200000	020002000
0202006	CHACRISE	CIE D'ARC DE CHACRISE	0200000	020002000
0202009	ACY	COMPAGNIE D'ARC D'ACY	0200000	020002000
0202010	GRAND ROZOY	CIE D'ARC DE GRAND ROZOY	0200000	020002000
0202011	LAON	1ERE CIE D'ARC L'ESPERANCE DE LAON	0200000	020002000
0202012	LONGPONT	COMPAGNIE D'ARC DE LONGPONT	0200000	020002000
0202013	LONGUEVAL	COMPAGNIE D'ARC DE LONGUEVAL	0200000	020002000
0202014	MURET & CROUTTES	CIE D'ARC DE MURET ET CROUTTES	0200000	020002000
0202015	OIGNY EN VALOIS	CIE D'ARC D'OIGNY	0200000	020002000
0202016	OULCHY LA VILLE	CIE DE TIR A L'ARC D'OULCHY LA VILLE	0200000	020002000
0202018	BRANGES	CIE D'ARC DE BRANGES	0200000	020002000
0202020	SOISSONS	COMPAGNIE D'ARC DE SOISSONS	0200000	020002000
0202021	VIC SUR AISNE	1ERE CIE D'ARC DE VIC SUR AISNE	0200000	020002000
0202025	PARCY TIGNY	CIE D'ARC DE PARCY ET TIGNY	0200000	020002000
0202027	VAILLY SUR AISNE	1ERE COMPAGNIE D'ARC DE VAILLY	0200000	020002000
0202031	COUCY LES EPPES	ARCHER CLUB DE COUCY LES EPPES	0200000	020002000
0202033	GUIGNICOURT	CIE DES ARCHERS DE GUIGNICOURT	0200000	020002000
0202034	BLANZY	CIE D ARC DE ST REMY	0200000	020002000
0202035	PINON	CIE D'ARC DE PINON	0200000	020002000
0202036	VILLENEUVE ST GERMAIN	CIE D'ARC DE VILLENEUVE ST GERMAIN	0200000	020002000
0202038	DROIZY	COMPAGNIE D'ARC DE DROIZY	0200000	020002000
0360001	AVILLY	AVILLY	0200000	020060000
0360002	BEAUVAIS	C. A. JEANNE HACHETTE	0200000	020060000
0360003	CHAMANT	CIE D ARC DE CHAMANT	0200000	020060000
0360004	CHAMBLY	CIE D'ARC DE CHAMBLY	0200000	020060000
0360005	CHANTILLY	1ERE CIE D ARC DE CHANTILLY	0200000	020060000
0360009	FLEURINES	CIE D'ARC DE FLEURINES	0200000	020060000
0360010	GOUVIEUX	1ERE CIE D'ARC DE GOUVIEUX	0200000	020060000
0360011	LA CHAPELLE EN SERVAL	LA CHAPELLE EN SERVAL	0200000	020060000
0360014	ORRY LA VILLE	1 ERE COMPAGNIE D'ARC D'ORRY LA VILLE	0200000	020060000
0360015	PLAILLY	COMPAGNIE D'ARC DE PLAILLY	0200000	020060000
0360017	PRECY SUR OISE	PRECY / OISE	0200000	020060000
0360018	RIEUX	CIE D'ARC DE RIEUX	0200000	020060000
0360019	SAINT LEU D'ESSERENT	SAINT LEU D'ESSERENT	0200000	020060000
0360021	SENLIS MONTAUBAN	CIE D'ARC DU MONTAUBAN	0200000	020060000
0360022	BURY	COMPAGNIE D'ARC DE BURY	0200000	020060000
0360024	ERMENONVILLE	1 CIE ARC GD ST MARTIN	0200000	020060000
0360025	CIRES LES MELLO	COMPAGNIE D'ARC DE CIRES LES MELLO	0200000	020060000
0360028	APREMONT	CIE D'ARC D'APREMONT	0200000	020060000
0360030	NOGENT SUR OISE	NOGENT SUR OISE	0200000	020060000
0360036	AGNETZ	ASS SPORTIVE AGNETZ TIR A L'ARC	0200000	020060000
0360037	MERU	LA FLECHE DE NACRE	0200000	020060000
0360038	BRESLES	LES ARCHERS DE BRESLES	0200000	020060000
0360039	CINQUEUX	COMPAGNIE D'ARCHER DE CINQUEUX	0200000	020060000
0360041	ST JUST EN CHAUSSEE	ACLES SECTION TIR A L ARC	0200000	020060000
0360044	ANGY	LA MEDIEVALE D'ANGY CIE D'ARC	0200000	020060000
0360045	BORNEL	LES RENARDS DE BORNEL	0200000	020060000
0360048	SAINT MAXIMIN	COMPAGNIE D'ARC DE ST MAXIMIN	0200000	020060000
0460001	BETHISY ST MARTIN	1ERE CIE D ARC BETHISY ST MARTIN	0200000	020060000
0460003	NANTEUIL LE HAUDOUIN	1ERE CIE D ARC DE NANTEUIL	0200000	020060000
0460006	MONTAGNY STE FELICITE	CIE D'ARC DE MONTAGNY STE FELICITE	0200000	020060000
0460009	LE PLESSIS BELLEVILLE	1ERE CIE D'ARC LE PLESSIS BELLEVILLE	0200000	020060000
0502001	BEUVARDES ARCHERS OMOIS	CLUB DES ARCHERS DE L'OMOIS	0200000	020002000
0502004	CHARLY SUR MARNE	CIE D'ARC DE CHARLY SUR MARNE	0200000	020002000
0502005	BRECY	CIE DE BRECY	0200000	020002000
0502006	CHEZY EN ORXOIS	CIE ARC CHEZY EN ORXOIS	0200000	020002000
0502008	DAMMARD	CIE DAMMARD	0200000	020002000
0502010	CHATEAU THIERRY	ARCHERS DE CHATEAU-THIERRY ST-MARTIN	0200000	020002000
0502011	ESSOMES SUR MARNE	TIR A L'ARC ESSOMES	0200000	020002000
0502012	CHEZY SUR MARNE	CHEZY SUR MARNE	0200000	020002000
0502013	GANDELU	CIE D'ARC GANDELU	0200000	020002000
0502014	LA FERTE MILON	CIE ARC LA FERTE MILON	0200000	020002000
0502017	NOGENTEL	NOGENTEL	0200000	020002000
0502019	SERINGES ET NESLES	CIE D ARC SERINGES ET NESLES	0200000	020002000
