Agrément	Localité	Désignation	Ligue	Département	Code postal
0000000	FFTA	LIGUE FEDERATION	0000000	0000000	
0100000	LIGUE DE PROVENCE	LIGUE DE PROVENCE DE TIR A L'ARC	0100000	0000000	84170
0200000	REGION PICARDIE	LIGUE DE PICARDIE DE TIR A L'ARC	0200000	0000000	60200
1100000	LIGUE DE FRANCHE COMTE	LIGUE DE FRANCHE COMTE DE TIR A L'ARC	1100000	0000000	90850
1200000	LIGUE D'AQUITAINE	LIGUE D'AQUITAINE DE TIR A L'ARC	1200000	0000000	47550
1300000	LDNTA	LIGUE DE NORMANDIE DE TIR A L ARC	1300000	0000000	14200
1400000	LIGUE D'AUVERGNE	LIGUE D'AUVERGNE DE TIR A L'ARC	1400000	0000000	63200
1500000	LIGUE DE BOURGOGNE	LIGUE DE BOURGOGNE DE TIR A L'ARC	1500000	0000000	71230
1700000	LIGUE DES FLANDRES	LIGUE DES FLANDRES DE TIR A L'ARC	1700000	0000000	62160
1800000	LIGUE DU LIMOUSIN	LIGUE DU LIMOUSIN DE TIR A L'ARC	1800000	0000000	19700
2000000	LLR	LIGUE DU LANGUEDOC ROUSSILLON DE TIR A L'ARC	2000000	0000000	34000
2100000	LIGUE DE LORRAINE	LIGUE DE LORRAINE DE TIR A L'ARC	2100000	0000000	54510
2200000	LIGUE DES PAYS DE LOIRE	LIGUE DES PAYS DE LOIRE DE TIR A L'ARC	2200000	0000000	44103
2300000	L.C.A.	LIGUE DE COTE D'AZUR DE TIR A L'ARC	2300000	0000000	06130
2400000	LIGUE DU CENTRE	LIGUE DU CENTRE DE TIR A L'ARC	2400000	0000000	41300
2500000	REGION ILE DE FRANCE	COMITE REGIONAL ILE DE FRANCE DE TIR A L'ARC	2500000	0000000	94430
2700000	LIGUE DE POITOU CHARENTE	LIGUE DE POITOU CHARENTES DE TIR A L'ARC	2700000	0000000	79220
2800000	LIGUE DE CHAMPAGNE ARDENNE	LIGUE DE CHAMPAGNE ARDENNE DE TIR A L'ARC	2800000	0000000	51130
2900000	LIGUE DE BRETAGNE	LIGUE DE BRETAGNE DE TIR A L'ARC	2900000	0000000	29200
3100000	LIGUE D'ALSACE	LIGUE D'ALSACE DE TIR A L'ARC	3100000	0000000	67035
3200000	LIGUE DE MIDI PYRENEES	LIGUE DE MIDI PYRENEES DE TIR A L'ARC	3200000	0000000	31400
3300000	CRRATA	COMITE REGIONAL RHONE ALPES DE TIR A L'ARC	3300000	0000000	38304
3400000	LIGUE DE CORSE	LIGUE DE CORSE DE TIR A L'ARC	3400000	0000000	20130
3500000	LIGUE DE REUNION	LIGUE DE REUNION DE TIR A L'ARC	3500000	0000000	97470
3600000	LIGUE DE GUYANE	LIGUE DE GUYANE DE TIR A L'ARC	3600000	0000000	97351
3700000		LIGUE DE GUADELOUPE DE TIR A L'ARC	3700000	0000000	97190
3800000	LIGUE DE NOUVELLE CALEDONIE	LIGUE DE NOUVELLE CALEDONIE DE TIR A L'ARC	3800000	0000000	98846
3900000	L.M.T.A.	LIGUE MARTINIQUAISE DE TIR A L'ARC	3900000	0000000	97228
0000000	FFTA	DEPARTEMENT FEDERATION	00	0000000	94430
3301000	CD AIN	COMITE DEPARTEMENTAL AIN	33	3301000	01000
0202000	CD AISNE	COMITE DEPARTEMENTAL AISNE	0200	0202000	02400
1403000	CD ALLIER	COMITE DEPARTEMENTAL ALLIER	14	1403000	03000
0104000	CD ALPES DE HAUTE PROVENCE	COMITE DEPARTEMENTAL ALPES DE HAUTE PROVENCE	01	0104000	04100
0105000	CD HAUTES-ALPES	COMITE DEPARTEMENTAL HAUTES-ALPES	01	0105000	05200
2306000	CD ALPES-MARITIMES	COMITE DEPARTEMENTAL ALPES-MARITIMES	23	2306000	06210
3307000	CD ARDECHE	COMITE DEPARTEMENTAL ARDECHE	33	3307000	07001
2808000	CD ARDENNES	COMITE DEPARTEMENTAL ARDENNES	28	2808000	08000
3209000	CD ARIEGE	COMITE DEPARTEMENTAL ARIEGE	32	3209000	09600
2810000	CD AUBE	COMITE DEPARTEMENTAL AUBE	28	2810000	10200
2011000	CD 11	COMITE DEPARTEMENTAL AUDE	20	2011000	11100
3212000	CD AVEYRON	COMITE DEPARTEMENTAL AVEYRON	32	3212000	12850
0113000	CD BOUCHES DU RHONE	COMITE DEPARTEMENTAL BOUCHES DU RHONE	01	0113000	13004
1314000	CD CALVADOS	COMITE DEPARTEMENTAL CALVADOS	1300	1314000	14460
1415000	CD CANTAL	COMITE DEPARTEMENTAL DU  CANTAL	14	1415000	15000
2716000	CD CHARENTE	COMITE DEPARTEMENTAL CHARENTE	27	2716000	16120
2717000	CD CHARENTE MARITIME	COMITE DEPARTEMENTAL CHARENTE MARITIME	27	2717000	17700
2418000	CD CHER	COMITE DEPARTEMENTAL CHER	24	2418000	18340
1819000	CD CORREZE	COMITE DEPARTEMENTAL CORREZE	18	1819000	19000
1521000	CD COTE D'OR	COMITE DEPARTEMENTAL COTE D'OR	15	1521000	21310
2922000	CD COTES D'ARMOR	COMITE DEPARTEMENTAL COTES D'ARMOR	29	2922000	22300
1823000	CD DE LA CREUSE	COMITE DEPARTEMENTAL DE LA CREUSE	18	1823000	19240
1224000	CD DORDOGNE	COMITE DEPARTEMENTAL DORDOGNE	12	1224000	24490
1125000	CD DOUBS	COMITE DEPARTEMENTAL DOUBS	11	1125000	25320
3326000	CD DROME	COMITE DEPARTEMENTAL DROME	33	3326000	26130
1327000	CD DE L'EURE	COMITE DEPARTEMENTAL DE L'EURE	1300	1327000	27170
2428000	CD EURE ET LOIR	COMITE DEPARTEMENTAL EURE ET LOIR	24	2428000	28630
2929000	CD FINISTERE	COMITE DEPARTEMENTAL FINISTERE	29	2929000	29460
342A000	CD CORSE DU SUD	COMITE DEPARTEMENTAL CORSE DU SUD	34	342A000	20090
342B000	CD DE HTE CORSE	COMITE DEPARTEMENTAL DE HTE CORSE	34	342B000	20600
2030000	CD GARD	COMITE DEPARTEMENTAL GARD	20	2030000	30000
3231000	CD HAUTE GARONNE	COMITE DEPARTEMENTAL HAUTE GARONNE	32	3231000	31620
3232000	CD GERS	COMITE DEPARTEMENTAL GERS	32	3232000	32550
1233000	CD GIRONDE	COMITE DEPARTEMENTAL GIRONDE	12	1233000	33110
2034000	CD HERAULT	COMITE DEPARTEMENTAL HERAULT	20	2034000	34094
2935000	CD ILLE ET VILAINE	COMITE DEPARTEMENTAL ILLE ET VILAINE	29	2935000	35000
2436000	CD INDRE	COMITE DEPARTEMENTAL INDRE	24	2436000	36000
2437000	CD INDRE ET LOIRE	COMITE DEPARTEMENTAL INDRE ET LOIRE	24	2437000	37210
3338000	CD ISERE	COMITE DEPARTEMENTAL ISERE	33	3338000	38320
1139000	CD DU JURA	COMITE DEPARTEMENTAL DU JURA	11	1139000	39120
1240000	CD LANDES	COMITE DEPARTEMENTAL LANDES	12	1240000	40102
2441000	CD LOIR ET CHER	COMITE DEPARTEMENTAL LOIR ET CHER	24	2441000	41000
3342000	CD DE LA LOIRE	COMITE DEPARTEMENTAL DE LA LOIRE	33	3342000	42100
1443000	CD DE LA HAUTE LOIRE	COMITE DEPARTEMENTAL DE LA HAUTE LOIRE	14	1443000	43000
2244000	CD LOIRE ATLANTIQUE	COMITE DEPARTEMENTAL LOIRE ATLANTIQUE	22	2244000	44300
2445000	CD LOIRET	COMITE DEPARTEMENTAL LOIRET	24	2445000	45400
3246000	CD LOT	COMITE DEPARTEMENTAL LOT	32	3246000	46300
1247000	CD LOT ET GARONNE	COMITE DEPARTEMENTAL LOT ET GARONNE	12	1247000	47170
2048000	CD LOZERE	COMITE DEPARTEMENTAL LOZERE	20	2048000	48130
2249000	CD MAINE ET LOIRE	COMITE DEPARTEMENTAL MAINE ET LOIRE	22	2249000	49610
1350000	CD DE LA MANCHE	COMITE DEPARTEMENTAL DE LA MANCHE	1300	1350000	50200
2851000	CD MARNE	COMITE DEPARTEMENTAL MARNE	28	2851000	51000
2852000	CD HAUTE MARNE	COMITE DEPARTEMENTAL HAUTE MARNE	28	2852000	52100
2253000	CD MAYENNE	COMITE DEPARTEMENTAL MAYENNE	22	2253000	53940
2154000	CD MEURTHE ET MOSELLE	COMITE DEPARTEMENTAL MEURTHE ET MOSELLE	21	2154000	54280
2155000	CD MEUSE	COMITE DEPARTEMENTAL MEUSE	21	2155000	55320
2956000	CD MORBIHAN	COMITE DEPARTEMENTAL MORBIHAN	29	2956000	56000
2157000	CD MOSELLE	COMITE DEPARTEMENTAL MOSELLE	21	2157000	57000
1558000	CD NIEVRE	COMITE DEPARTEMENTAL NIEVRE	15	1558000	58640
1759000	CD NORD	COMITE DEPARTEMENTAL NORD	17	1759000	59650
0260000	CD OISE	COMITE DEPARTEMENTAL OISE	0200	0260000	60200
1361000	CD DE L'ORNE	COMITE DEPARTEMENTAL DE L'ORNE	1300	1361000	61700
1762000	CD PAS DE CALAIS	COMITE DEPARTEMENTAL PAS DE CALAIS	17	1762000	62143
1463000	CD PUY DE DOME	COMITE DEPARTEMENTAL PUY DE DOME	14	1463000	63200
1264000	CD PYRENEES ATLANTIQUES	COMITE DEPARTEMENTAL PYRENEES ATLANTIQUES	12	1264000	64800
3265000	CD HAUTES PYRENEES	COMITE DEPARTEMENTAL HAUTES PYRENEES	32	3265000	65000
2066000	CD PYRENEES ORIENTALES	COMITE DEPARTEMENTAL PYRENEES ORIENTALES	20	2066000	66000
3167000	CD BAS RHIN	COMITE DEPARTEMENTAL BAS RHIN	31	3167000	67035
3168000	CD HAUT RHIN	COMITE DEPARTEMENTAL HAUT RHIN	31	3168000	68127
3369000	CD RHONE	COMITE DEPART. RHONE	33	3369000	69004
1170000	CD HAUTE SAONE	COMITE DEPARTEMENTAL HAUTE SAONE	11	1170000	70200
1571000	CD SAONE ET LOIRE	COMITE DEPARTEMENTAL SAONE ET LOIRE	15	1571000	71300
2272000	CD SARTHE	COMITE DEPARTEMENTAL SARTHE	22	2272000	72390
3373000	CD SAVOIE	COMITE DEPARTEMENTAL SAVOIE	33	3373000	73230
3374000	CD HAUTE SAVOIE	COMITE DEPARTEMENTAL HAUTE SAVOIE	33	3374000	74000
2575000	CD PARIS	COMITE DEPARTEMENTAL PARIS	2500	2575000	75012
1376000	CD SEINE MARITIME	COMITE DEPARTEMENTAL SEINE MARITIME	1300	1376000	76420
2577000	CD SEINE ET MARNE	COMITE DEPARTEMENTAL SEINE ET MARNE	2500	2577000	77860
2578000	CD YVELINES	COMITE DEPARTEMENTAL YVELINES	2500	2578000	78180
2779000	CD DES DEUX SEVRES	COMITE DEPARTEMENTAL DES DEUX SEVRES	27	2779000	79440
0280000	CD SOMME	COMITE DEPARTEMENTAL SOMME	0200	0280000	80000
3281000	CD TARN	COMITE DEPARTEMENTAL TARN	32	3281000	81000
3282000	CD TARN ET GARONNE	COMITE DEPARTEMENTAL TARN ET GARONNE	32	3282000	82710
2383000	CD VAR	COMITE DEPARTEMENTAL VAR	23	2383000	83000
0184000	CD VAUCLUSE	COMITE DEPARTEMENTAL VAUCLUSE	01	0184000	84420
2285000	CD DE VENDEE	COMITE DEPARTEMENTAL DE VENDEE	22	2285000	85000
2786000	CD VIENNE	COMITE DEPARTEMENTAL VIENNE	27	2786000	86140
1887000	CD HAUTE VIENNE	COMITE DEPARTEMENTAL HAUTE VIENNE	18	1887000	87430
2188000	CD VOSGES	COMITE DEPARTEMENTAL VOSGES	21	2188000	88640
1589000	CD YONNE	COMITE DEPARTEMENTAL YONNE	15	1589000	89100
1190000	CD TERRITOIRE DE BELFORT	COMITE DEPARTEMENTAL TERRITOIRE DE BELFORT	11	1190000	90850
2591000	CD ESSONNE	C.D. TIR A L'ARC ESSONNE	2500	2591000	91100
2592000	CD HAUTS DE SEINE	COMITE DEPARTEMENTAL HAUTS DE SEINE	2500	2592000	92370
2593000	CD SEINE ST DENIS	COMITE DEPARTEMENTAL SEINE ST DENIS	2500	2593000	93500
2594000	CD VAL DE MARNE	COMITE DEPARTEMENTAL VAL DE MARNE	2500	2594000	94120
2595000	CD VAL D'OISE	COMITE DEPARTEMENTAL VAL D'OISE	2500	2595000	95600
38991	KONE	COMITE PROVINCIAL NORD	38	38991	98860
38992	DUMBEA	COMITE PROVINCIAL SUD	38	38992	98830
0000001	ROSNY SOUS BOIS	Club Fédération	0000000	0000000	94430
0000005	ROSNY SOUS BOIS	CLUB FICTIF	0000000	0000000	93110
0000006	SAINT-PIERRE ET MIQUELON	COMPAGNONS D ARC ST PIERRAIS	0000000	0000000	97500
0104025	DIGNE LES BAINS	ARCHERS DES 3 VALLEES	0100000	0104000	04000
0104038	MANOSQUE	ARCHERS MANOSQUINS	0100000	0104000	04100
0104064	CHATEAU ARNOUX ST AUBAN	1 CIE DES ARCHERS JARLANDINS	0100000	0104000	04160
0104099	VOLX	CIE DES ARCHERS DE PIETRAMAL	0100000	0104000	04130
0104100	CLAMENSANE	ARCHERS DU SASSE	0100000	0104000	04250
0104113	L'ESCALE	LES ARCHERS DU SOLEIL	0100000	0104000	04160
0104132	CASTELLANE	AEP LE ROC	0100000	0104000	04120
0104147	CRUIS	LUROSPORT	0100000	0104000	04230
0104152	ST MAIME	LES ARCHERS DE BEATRIX	0100000	0104000	04300
0104153	BARCELONNETTE	1ERE CIE D'ARC DE BARCELONNETTE UBAYE	0100000	0104000	04400
0105020	GAP	CIE DES ARCHERS GAPENCAIS	0100000	0105000	05000
0105071	L'ARGENTIERE LA BESSEE	LES ARCHERS DES ECRINS	0100000	0105000	05120
0105133	EMBRUN	LES ARCHERS EMBRUNAIS	0100000	0105000	05200
0113001	AIX EN PROVENCE	1ERE CIE DE TIR A L'ARC D'AIX EN PROVENCE	0100000	0113000	13090
0113002	MARSEILLE 1ERE	1ERE CIE D'ARC MARSEILLE	0100000	0113000	13011
0113003	SALON DE PROVENCE	LES ARCHERS SALONAIS - LA BARBEN	0100000	0113000	13300
0113005	LA CIOTAT	1ERE CTA LA CIOTAT	0100000	0113000	13600
0113012	CARNOUX EN PROVENCE	1ERE CTA DE CARNOUX	0100000	0113000	13470
0113014	MARIGNANE	1ERE CIE D'ARC MARIGNANE	0100000	0113000	13700
0113021	ST MARTIN DE CRAU	LES ARCHERS SAINT MARTINOIS	0100000	0113000	13310
0113043	PELISSANNE	CIE D'ARC PELISSANNE	0100000	0113000	13330
0113044	MARSEILLE TROIS LUCS	LES ARCHERS DES TROIS LUCS	0100000	0113000	13012
0113045	LA ROQUE D'ANTHERON	LES ARCHERS DE L'ALYCASTRE	0100000	0113000	13640
0113049	PUYLOUBIER	LEGION PUYLOUBIER	0100000	0113000	13114
0113054	LA MEDE	MAISON POUR TOUS LA MEDE	0100000	0113000	13220
0113055	MARTIGUES	LIS ARQUIE MARTEGAU	0100000	0113000	13693
0113063	ARLES	ARCHERS PONT VAN GOGH	0100000	0113000	13150
0113069	PUY SAINTE REPARADE ARR	ARCHERS DU ROY RENE	0100000	0113000	13610
0113079	AURIOL	AURIOL DIANE ARCHERY	0100000	0113000	13390
0113080	ISTRES	ISTRES SPORT TIR A L'ARC	0100000	0113000	13140
0113091	MARSEILLE PHOCEENS	ARCHERS PHOCEENS	0100000	0113000	13012
0113095	MIRAMAS CRAU	ARCHERS DE LA CRAU	0100000	0113000	13140
0113103	MIRAMAS SLC	S.L.C MIRAMAS	0100000	0113000	13140
0113114	LES PENNES MIRABEAU	LES ARCHERS PENNOIS	0100000	0113000	13170
0113117	USCM - ARCHERS DU RAIL	USCM - ARCHERS DU RAIL	0100000	0113000	13013
0113121	MIMET	LES ARCHERS DE L'ETOILE	0100000	0113000	13105
0113126	MALLEMORT	LES ARCHERS DES COLLINES DE LA DURANCE	0100000	0113000	13370
0113130	GEMENOS	LES ARCHERS DE GEMENOS	0100000	0113000	13420
0113131	VENTABREN	LES ARCHERS DE LA REINE JEANNE	0100000	0113000	13122
0113142	FARE LES OLIVIERS	TIR A L'ARC FARENC	0100000	0113000	13580
0113144	THOLONET	LES ARCHERS DU THOLONET	0100000	0113000	13009
0113148	LES ARCHERS DES MILLES	LES ARCHERS DES MILLES	0100000	0113000	13090
0113149	LE PUY STE REPARADE	FIRST TEXAS CAVALRY	0100000	0113000	13610
0113150	BOUC BEL AIR	C.C.S. BOUC BEL AIR - 1RE CIE D'ARC	0100000	0113000	13320
0113151	PEYNIER	PEYNIER - LES ARCHERS DU VERDALAI	0100000	0113000	13790
0184011	AVIGNON	ARCHERS COMTAT VENAISSIN	0100000	0184000	84000
0184017	BOLLENE	ARCHERS DE BOLLENE	0100000	0184000	84500
0184028	PIOLENC	ARCHERS DES PRINCES	0100000	0184000	84420
0184039	L'ISLE SUR LA SORGUE	ARCHERS L'ISLOIS	0100000	0184000	84800
0184047	CARPENTRAS	ARCHERS ST SIFFREIN	0100000	0184000	84200
0184062	SORGUES	GRAND ARC - ASSER	0100000	0184000	84700
0184074	CAVAILLON	ARCHERS ST JACQUES	0100000	0184000	84300
0184078	MERINDOL	TOXOTES VAL DURANCE MERINDOL	0100000	0184000	84360
0184090	VEDENE	COMPAGNIE D'ARC DE VEDENE	0100000	0184000	84270
0184111	LOURMARIN	ARC CLUB LUBERONAIS	0100000	0184000	84160
0184122	GARGAS	ARCHERS DE GARGAS	0100000	0184000	84400
0184124	MORIERES LES AVIGNON	ARCHERS MORIERES	0100000	0184000	84310
0184125	BONNIEUX	ARCHERS DU LUBERON	0100000	0184000	84440
0184134	ARCHERS DE LA TOUR	ASL - ARCHERS DE LA TOUR	0100000	0184000	84125
0184136	COURTHEZON	LES ARCHERS DE VAL SEILLE	0100000	0184000	84350
0184139	LE THOR	NATURE EN CIBLE	0100000	0184000	84250
0184140	ROBION	LES ARCHERS DU BAUDE	0100000	0184000	84440
0184141	PERTUIS	ARC KI DO	0100000	0184000	84120
0202003	BILLY SUR OURCQ	CIE D'ARC DE BILLY SUR OURCQ	0200000	020002000	02210
0202004	BRAINE	CIE D'ARC DE BRAINE	0200000	020002000	02220
0202006	CHACRISE	CIE D'ARC DE CHACRISE	0200000	020002000	02200
0202009	ACY	COMPAGNIE D'ARC D'ACY	0200000	020002000	02200
0202010	GRAND ROZOY	CIE D'ARC DE GRAND ROZOY	0200000	020002000	02210
0202011	LAON	1ERE CIE D'ARC L'ESPERANCE DE LAON	0200000	020002000	02000
0202012	LONGPONT	COMPAGNIE D'ARC DE LONGPONT	0200000	020002000	02600
0202013	LONGUEVAL	COMPAGNIE D'ARC DE LONGUEVAL	0200000	020002000	02160
0202014	MURET & CROUTTES	CIE D'ARC DE MURET ET CROUTTES	0200000	020002000	02210
0202015	OIGNY EN VALOIS	CIE D'ARC D'OIGNY	0200000	020002000	02600
0202016	OULCHY LA VILLE	CIE DE TIR A L'ARC D'OULCHY LA VILLE	0200000	020002000	02210
0202018	BRANGES	CIE D'ARC DE BRANGES	0200000	020002000	02130
0202020	SOISSONS	COMPAGNIE D'ARC DE SOISSONS	0200000	020002000	02200
0202021	VIC SUR AISNE	1ERE CIE D'ARC DE VIC SUR AISNE	0200000	020002000	02290
0202025	PARCY TIGNY	CIE D'ARC DE PARCY ET TIGNY	0200000	020002000	02210
0202027	VAILLY SUR AISNE	1ERE COMPAGNIE D'ARC DE VAILLY	0200000	020002000	02370
0202031	COUCY LES EPPES	ARCHER CLUB DE COUCY LES EPPES	0200000	020002000	02000
0202033	GUIGNICOURT	CIE DES ARCHERS DE GUIGNICOURT	0200000	020002000	02190
0202034	BLANZY	CIE D ARC DE ST REMY	0200000	020002000	02210
0202035	PINON	CIE D'ARC DE PINON	0200000	020002000	02320
0202036	VILLENEUVE ST GERMAIN	CIE D'ARC DE VILLENEUVE ST GERMAIN	0200000	020002000	02200
0202038	DROIZY	COMPAGNIE D'ARC DE DROIZY	0200000	020002000	02210
0360001	AVILLY	AVILLY	0200000	020060000	60300
0360002	BEAUVAIS	C. A. JEANNE HACHETTE	0200000	020060000	60000
0360003	CHAMANT	CIE D ARC DE CHAMANT	0200000	020060000	60300
0360004	CHAMBLY	CIE D'ARC DE CHAMBLY	0200000	020060000	60230
0360005	CHANTILLY	1ERE CIE D ARC DE CHANTILLY	0200000	020060000	60500
0360009	FLEURINES	CIE D'ARC DE FLEURINES	0200000	020060000	60700
0360010	GOUVIEUX	1ERE CIE D'ARC DE GOUVIEUX	0200000	020060000	60270
0360011	LA CHAPELLE EN SERVAL	LA CHAPELLE EN SERVAL	0200000	020060000	95470
0360014	ORRY LA VILLE	1 ERE COMPAGNIE D'ARC D'ORRY LA VILLE	0200000	020060000	60520
0360015	PLAILLY	COMPAGNIE D'ARC DE PLAILLY	0200000	020060000	60128
0360017	PRECY SUR OISE	PRECY / OISE	0200000	020060000	60460
0360018	RIEUX	CIE D'ARC DE RIEUX	0200000	020060000	60870
0360019	SAINT LEU D'ESSERENT	SAINT LEU D'ESSERENT	0200000	020060000	60100
0360021	SENLIS MONTAUBAN	CIE D'ARC DU MONTAUBAN	0200000	020060000	60300
0360022	BURY	COMPAGNIE D'ARC DE BURY	0200000	020060000	60250
0360024	ERMENONVILLE	1 CIE ARC GD ST MARTIN	0200000	020060000	60950
0360025	CIRES LES MELLO	COMPAGNIE D'ARC DE CIRES LES MELLO	0200000	020060000	60660
0360028	APREMONT	CIE D'ARC D'APREMONT	0200000	020060000	60270
0360030	NOGENT SUR OISE	NOGENT SUR OISE	0200000	020060000	60180
0360036	AGNETZ	ASS SPORTIVE AGNETZ TIR A L'ARC	0200000	020060000	60600
0360037	MERU	LA FLECHE DE NACRE	0200000	020060000	60110
0360038	BRESLES	LES ARCHERS DE BRESLES	0200000	020060000	60510
0360039	CINQUEUX	COMPAGNIE D'ARCHER DE CINQUEUX	0200000	020060000	60940
0360041	ST JUST EN CHAUSSEE	ACLES SECTION TIR A L ARC	0200000	020060000	60130
0360044	ANGY	LA MEDIEVALE D'ANGY CIE D'ARC	0200000	020060000	60250
0360045	BORNEL	LES RENARDS DE BORNEL	0200000	020060000	60540
0360048	SAINT MAXIMIN	COMPAGNIE D'ARC DE ST MAXIMIN	0200000	020060000	60740
0460001	BETHISY ST MARTIN	1ERE CIE D ARC BETHISY ST MARTIN	0200000	020060000	60320
0460003	NANTEUIL LE HAUDOUIN	1ERE CIE D ARC DE NANTEUIL	0200000	020060000	60440
0460006	MONTAGNY STE FELICITE	CIE D'ARC DE MONTAGNY STE FELICITE	0200000	020060000	60950
0460009	LE PLESSIS BELLEVILLE	1ERE CIE D'ARC LE PLESSIS BELLEVILLE	0200000	020060000	60330
0502001	BEUVARDES ARCHERS OMOIS	CLUB DES ARCHERS DE L'OMOIS	0200000	020002000	02130
0502004	CHARLY SUR MARNE	CIE D'ARC DE CHARLY SUR MARNE	0200000	020002000	02310
0502005	BRECY	CIE DE BRECY	0200000	020002000	02210
0502006	CHEZY EN ORXOIS	CIE ARC CHEZY EN ORXOIS	0200000	020002000	02810
0502008	DAMMARD	CIE DAMMARD	0200000	020002000	02130
0502010	CHATEAU THIERRY	ARCHERS DE CHATEAU-THIERRY ST-MARTIN	0200000	020002000	02401
0502011	ESSOMES SUR MARNE	TIR A L'ARC ESSOMES	0200000	020002000	02400
0502012	CHEZY SUR MARNE	CHEZY SUR MARNE	0200000	020002000	02570
0502013	GANDELU	CIE D'ARC GANDELU	0200000	020002000	02810
0502014	LA FERTE MILON	CIE ARC LA FERTE MILON	0200000	020002000	02460
0502017	NOGENTEL	NOGENTEL	0200000	020002000	02400
0502019	SERINGES ET NESLES	CIE D ARC SERINGES ET NESLES	0200000	020002000	02130
0502020	MONTIGNY L'ALLIER	CIE D'ARC MONTIGNY L'ALLIER	0200000	020002000	02810
0502021	NEUILLY SAINT FRONT	CIE D'ARC DE NEUILLY ST FRONT	0200000	020002000	02470
0502022	VILLENEUVE SUR FERE	2EME CIE DE VILLENEUVE/FERE	0200000	020002000	02130
0502023	VILLERS COTTERETS	CIE D ARC DE VILLERS COTTERETS	0200000	020002000	02600
0502025	FERE EN TARDENOIS	UNION AMICALE FEROISE - SECTION TIR A L'ARC	0200000	020002000	02130
0502026	COINCY	COMPAGNIE DE COINCY	0200000	020002000	02210
0502030	VIVIERES	ASSOCIATION STE CLOTILDE	0200000	020002000	02600
0660001	ARSY	CIE D'ARC D'ARSY	0200000	020060000	60190
0660005	CLAIROIX	COMPAGNIE D'ARC DE CLAIROIX	0200000	020060000	60280
0660006	COUDUN	COMPAGNIE D'ARC DE COUDUN	0200000	020060000	60150
0660007	ESTREES ST DENIS	COMPAGNIE D'ARC D'ESTREES	0200000	020060000	60190
0660009	JANVILLE	CIE D'ARC LA JANVILLOISE	0200000	020060000	60150
0660010	JAUX	CIE D'ARC DE JAUX	0200000	020060000	60880
0660011	JONQUIERES	CIE D'ARC DE JONQUIERES	0200000	020060000	60680
0660012	LASSIGNY	CIE ARC DE LASSIGNY	0200000	020060000	60310
0660013	MARGNY LES COMPIEGNE	CIE D'ARC  L'ESPERANCE	0200000	020060000	60280
0660015	MONCHY HUMIERES	CIE D'ARC DE MONCHY	0200000	020060000	60113
0660016	REMY	COMPAGNIE D'ARC DE REMY	0200000	020060000	60190
0660017	THOUROTTE	CIE D'ARC DE THOUROTTE	0200000	020060000	60150
0660021	VILLERS SUR COUDUN	COMPAGNIE D'ARC DE VILLERS	0200000	020060000	60150
0660024	RESSONS S/MATZ	LES ARCHERS RESSONTOIS	0200000	020060000	60490
0660026	GOURNAY SUR ARONDE	CIE D'ARC DE GOURNAY SUR ARONDE	0200000	020060000	60190
0660027	VIGNEMONT	COMPAGNIE D'ARC DE VIGNEMONT	0200000	020060000	60162
0780001	AMIENS	CIE D'ARC D'AMIENS	0200000	020080000	80000
0780002	ANDECHY	LES ARCHERS D'ANDECHY	0200000	020080000	80700
0780003	ARVILLERS	CIE D'ARC D'ARVILLERS	0200000	020080000	80910
0780006	CACHY	LES ARCHERS DE CACHY	0200000	020080000	80800
0780007	DOULLENS	CIE DES FRANCS ARCHERS	0200000	020080000	80600
0780009	LA BOISSIERE-FESCAMPS	LA BOISSIERE-FESCAMPS	0200000	020080000	80500
0780011	PIENNES-ONVILLERS	CIE D'ARC DE PIENNES	0200000	020080000	80500
0780013	VILLERS BRETONNEUX	UNION DES ARCHERS	0200000	020080000	80800
0780016	BROUCHY	CIE D'ARC DE BROUCHY	0200000	020080000	80400
0780018	ESMERY HALLON	ESMERY HALLON	0200000	020080000	80400
0780021	ROYE	CIE D ARC DE ROYE	0200000	020080000	80700
0780026	QUEND	L'ETINCELLE MARQUENTERRE LOISIRS CULTURE	0200000	020080000	80120
0780027	ABBEVILLE	CIE D'ARC D'ABBEVILLE	0200000	020080000	80100
0780029	MOREUIL	CIE ARCHERS DE MOREUIL	0200000	020080000	80110
0780034	EPPEVILLE	LA FLECHE EPPEVILLOISE	0200000	020080000	80400
0780040	NESLE	CLUB DE TIR A L'ARC NESLOIS	0200000	020080000	80190
0780041	SAINS EN AMIENOIS	CLUB DE TIR A L'ARC DE SAINS EN AMIENOIS	0200000	020080000	80680
0780044	ROISEL	CIE D'ARC ST.MARTIN ROISEL-EPEHY	0200000	020080000	80240
0780046	CORBIE	ENCLOS DE L'ABBAYE	0200000	020080000	80800
0780050	CHAULNES	AMICALE DES ANCIENS ELEVES	0200000	020080000	80320
0802002	BLERANCOURT	CIE D'ARC DE BLERANCOURT	0200000	020002000	02300
0802004	CAMELIN	COMPAGNIE D'ARC DE CAMELIN	0200000	020002000	02300
0802025	BLERANCOURT	LA SAINT SEBASTIEN	0200000	020002000	02300
0860001	ATTICHY	CIE D'ARC D'ATTICHY	0200000	020060000	60350
0860005	CARLEPONT	CIE D'ARC DE CARLEPONT	0200000	020060000	60170
0860006	CHOISY AU BAC	COMPAGNIE D'ARC DE CHOISY AU BAC	0200000	020060000	60750
0860007	COMPIEGNE	LES ARCHERS DE COMPIEGNE	0200000	020060000	60471
